Contract Identifier,State Office Code,Contract Term,Acres Current,Mbf Current,Ccf Current,Value Sold
OR11-TS-2010.0019,OR,36.0,478.0,2618.0,4618.0,255005.9
OR11-TS-2010.0020,OR,36.0,225.0,5161.0,8689.8,243658.9
OR11-TS-2011.0003,OR,24.0,41.0,628.4,1210.7,71207.9
OR11-TS-2011.0004,OR,36.0,98.0,1158.4,2046.8,248733.1
OR11-TS-2011.0005,OR,36.0,140.0,1257.0,2237.4,96888.5
OR11-TS-2011.0007,OR,24.0,69.0,640.2,1255.6,73795.2
OR11-TS-2011.0008,OR,36.0,70.0,961.0,1706.0,115278.7
OR11-TS-2011.0009,OR,36.0,405.0,7436.5,13081.4,703501.5
OR11-TS-2011.0017,OR,25.0,245.0,2075.7,3332.0,230606.0
OR11-TS-2011.0018,OR,24.0,2.0,33.5,65.8,5547.58
OR11-TS-2011.0019,OR,36.0,508.0,4002.5,6720.9,366756.8
OR11-TS-2011.0020,OR,36.0,709.0,3586.6,6198.7,173674.2
OR11-TS-2012.0002,OR,36.0,148.0,631.0,1200.0,38497.0
OR11-TS-2012.0003,OR,36.0,99.0,1146.4,1919.7,86727.0
OR11-TS-2012.0004,OR,36.0,255.0,787.0,1282.8,36963.8
OR11-TS-2012.0005,OR,36.0,178.0,1041.0,1770.0,186246.5
OR11-TS-2012.0006,OR,36.0,105.0,1318.4,2400.9,127732.4
OR11-TS-2012.0008,OR,36.0,229.0,1650.0,3094.3,66140.0
OR12-TS-2004.0005,OR,36.0,600.0,9854.8,17793.5,823572.3
OR12-TS-2007.0030,OR,36.0,304.0,3728.4,7006.9,115567.0
OR12-TS-2007.0032,OR,36.0,243.0,4400.2,7172.3,1159559.4
OR12-TS-2008.0003,OR,36.0,436.0,6854.5,12518.7,248314.3
OR12-TS-2008.0030,OR,36.0,364.0,5956.3,11197.2,166023.1
OR12-TS-2008.0031,OR,36.0,329.0,4009.3,7519.0,96196.4
OR12-TS-2009.0030,OR,36.0,620.0,10209.4,19273.7,263823.2
OR12-TS-2009.0031,OR,36.0,84.0,1362.3,2497.5,62780.1
OR12-TS-2009.0032,OR,36.0,334.0,5881.7,11119.8,339843.5
OR12-TS-2009.0034,OR,36.0,100.0,1431.9,2696.7,43675.3
OR12-TS-2009.0035,OR,36.0,107.0,2204.7,4124.5,55312.0
OR12-TS-2009.0038,OR,36.0,173.0,2266.3,4310.6,66289.4
OR12-TS-2010.0001,OR,36.0,332.0,6003.2,10959.3,521730.4
OR12-TS-2010.0002,OR,36.0,381.0,6677.8,11852.6,625095.5
OR12-TS-2010.0003,OR,36.0,310.0,4500.6,8390.1,205401.1
OR12-TS-2010.0004,OR,36.0,339.0,6554.3,12081.4,399609.9
OR12-TS-2010.0032,OR,36.0,313.0,4453.7,8284.3,135596.1
OR12-TS-2010.0033,OR,36.0,255.0,4095.3,7547.4,179945.2
OR12-TS-2011.0001,OR,36.0,264.0,4589.5,8240.9,659413.4
OR12-TS-2011.0007,OR,36.0,60.0,1532.1,2637.7,263231.5
OR12-TS-2011.0008,OR,36.0,85.0,1292.2,2220.3,35192.5
OR12-TS-2011.0030,OR,36.0,141.0,2224.1,4145.6,274962.6
OR12-TS-2011.0032,OR,36.0,108.0,3111.0,5378.2,251308.8
OR12-TS-2011.0033,OR,36.0,307.5,3216.1,5933.7,107836.2
OR12-TS-2011.0034,OR,36.0,220.0,6397.4,12268.2,439111.0
OR12-TS-2011.0035,OR,36.0,150.0,2774.1,5140.5,396009.1
OR12-TS-2011.0036,OR,36.0,209.0,4809.1,8803.5,266170.2
OR12-TS-2012.0002,OR,36.0,155.0,5090.9,8137.3,642003.0
OR12-TS-2012.0005,OR,36.0,194.0,4257.2,7251.8,488963.05
OR12-TS-2012.0030,OR,36.0,79.0,899.0,1708.0,35533.0
ORB00-TS-2013.0001,OR,12.0,271.0,231.0,376.5,7068.6
ORB00-TS-2013.0002,OR,12.0,66.0,171.0,278.7,5882.4
ORC00-TS-2012.0003,OR,36.0,228.0,4200.9,7488.4,281017.1
ORC00-TS-2012.0004,OR,12.0,29.0,1206.2,2195.1,207899.4
ORC00-TS-2012.0006,OR,36.0,166.0,3452.8,5914.6,245318.7
ORC00-TS-2012.0033,OR,36.0,121.0,2627.0,4714.0,200239.8
ORC00-TS-2012.0034,OR,36.0,175.0,5534.1,9931.4,406938.9
ORC00-TS-2012.0035,OR,36.0,127.0,6140.0,10008.2,561990.8
ORC00-TS-2012.0036,OR,36.0,61.0,1654.0,3000.6,110286.4
ORC00-TS-2012.0200,OR,24.0,2.0,36.7,59.9,7839.4
ORC00-TS-2012.0333,OR,6.0,32.0,88.0,143.4,3727.3
ORC00-TS-2013.0001,OR,36.0,271.0,8557.7,13949.1,1404785.0
ORC00-TS-2013.0002,OR,36.0,181.0,3379.0,5507.8,577600.4
ORC00-TS-2013.0003,OR,36.0,238.0,4014.3,6543.3,582759.7
ORC00-TS-2013.0004,OR,36.0,190.0,4619.2,7529.3,589491.0
ORC00-TS-2013.0030,OR,36.0,132.0,2640.0,4303.2,339733.5
ORC00-TS-2013.0031,OR,36.0,349.0,7117.0,11600.7,981413.7
ORC00-TS-2013.0032,OR,36.0,233.0,4657.0,7590.9,437631.0
ORC00-TS-2013.0034,OR,24.0,92.0,2127.0,3467.0,208213.8
ORC00-TS-2013.0035,OR,24.0,34.0,511.6,834.0,58883.3
ORC00-TS-2013.0201,OR,24.0,1.0,20.6,33.6,5258.6
ORC00-TS-2013.0202,OR,24.0,8.0,273.5,445.8,61370.8
ORC00-TS-2013.0301,OR,6.0,1.0,17.0,27.8,2831.0
ORC00-TS-2014.0001,OR,36.0,147.0,2999.5,4889.2,381091.1
ORC00-TS-2014.0004,OR,36.0,189.0,3090.0,5036.7,708132.8
ORC00-TS-2014.0005,OR,36.0,216.0,3838.0,6255.9,783068.6
ORC00-TS-2014.0006,OR,24.0,74.0,1454.9,2371.5,329970.8
ORC00-TS-2014.0007,OR,36.0,159.0,1997.0,3255.1,350279.9
